filename,number,xmin,ymin,xmax,ymax
hefei_3188.jpg,09575.9,68,114,504,187
hefei_3190.jpg,19652.0,91,81,543,174
hefei_3191.jpg,02262.7,30,138,539,231
hefei_3192.jpg,05702.0,76,88,488,156
hefei_3194.jpg,02566.0,159,96,417,158
hefei_3195.jpg,07509.7,94,84,512,156
hefei_3196.jpg,00272.3,188,99,451,148
hefei_3198.jpg,18304.5,80,69,545,162
hefei_3199.jpg,07903.2,37,64,452,150
hefei_3200.jpg,05981.5,148,111,523,197
hefei_3203.jpg,01923.0,189,91,432,141
hefei_3204.jpg,06763.5,197,58,452,100
hefei_3205.jpg,12545.8,52,149,458,223
hefei_3208.jpg,05598.5,75,55,481,122
hefei_3209.jpg,05546.7,210,26,448,76
hefei_3210.jpg,06402.1,86,67,496,133
hefei_3212.jpg,03467.4,133,145,546,231
hefei_3213.jpg,00082.7,118,67,553,159
hefei_3214.jpg,11290.6,53,133,505,217
hefei_3216.jpg,03184.9,94,87,507,153
hefei_3217.jpg,06325.9,43,83,432,145
hefei_3218.jpg,09041.2,98,114,524,189
hefei_3220.jpg,10293.4,75,88,510,162
hefei_3221.jpg,04135.3,158,127,430,176
hefei_3222.jpg,03673.1,148,1,515,70
hefei_3224.jpg,34897.6,51,39,457,106
hefei_3225.jpg,12040.2,84,50,501,118
hefei_3226.jpg,00208.4,72,161,537,254
hefei_3228.jpg,10720.4,90,118,541,198
hefei_3229.jpg,03073.9,131,103,589,190
hefei_3230.jpg,12635.2,135,22,528,84
hefei_3232.jpg,05030.2,96,120,587,205
hefei_3233.jpg,03158.3,83,92,530,177
hefei_3234.jpg,14151.4,134,25,394,117
hefei_3236.jpg,03902.5,112,63,556,144
hefei_3237.jpg,13346.2,94,101,530,173
hefei_3238.jpg,13486.6,53,151,498,231
hefei_3240.jpg,04820.0,115,168,598,290
hefei_3241.jpg,02041.1,177,48,594,138
hefei_3242.jpg,06396.3,64,68,499,135
hefei_3244.jpg,10815.5,62,86,501,166
hefei_3245.jpg,03410.4,74,0,525,79
hefei_3246.jpg,02782.1,68,129,529,219
hefei_3248.jpg,04448.4,59,166,499,250
hefei_3249.jpg,03149.6,151,124,466,179
